"arc_length","6","cb","2","3","1","4","5"
3e-09,3010.99,7.84865e+08,2.01494e+16,3.69058e+12,1.34232e+21,1.99845e+09,131405
3.03e-09,3036.61,7.91392e+08,2.01829e+16,3.71034e+12,1.34206e+21,2.01397e+09,132471
3.06e-09,3062.23,7.97919e+08,2.02164e+16,3.7301e+12,1.3418e+21,2.02949e+09,133537
3.09e-09,3087.85,8.04446e+08,2.02499e+16,3.74986e+12,1.34154e+21,2.04501e+09,134602
3.12e-09,3113.46,8.10973e+08,2.02834e+16,3.76962e+12,1.34127e+21,2.06053e+09,135668
3.15e-09,3139.08,8.175e+08,2.03168e+16,3.78938e+12,1.34101e+21,2.07605e+09,136734
3.18e-09,3164.7,8.24027e+08,2.03503e+16,3.80914e+12,1.34075e+21,2.09157e+09,137800
3.21e-09,3190.32,8.30554e+08,2.03838e+16,3.8289e+12,1.34049e+21,2.10709e+09,138866
3.24e-09,3215.94,8.37081e+08,2.04173e+16,3.84866e+12,1.34023e+21,2.12261e+09,139932
3.27e-09,3241.56,8.43608e+08,2.04508e+16,3.86843e+12,1.33996e+21,2.13813e+09,140998
3.3e-09,3267.17,8.50135e+08,2.04843e+16,3.88819e+12,1.3397e+21,2.15365e+09,142063
3.33e-09,3292.79,8.56662e+08,2.05178e+16,3.90795e+12,1.33944e+21,2.16917e+09,143129
3.36e-09,3318.41,8.63189e+08,2.05513e+16,3.92771e+12,1.33918e+21,2.18469e+09,144195
3.39e-09,3344.03,8.69716e+08,2.05848e+16,3.94747e+12,1.33892e+21,2.20021e+09,145261
3.42e-09,3369.65,8.76243e+08,2.06182e+16,3.96723e+12,1.33866e+21,2.21573e+09,146327
3.45e-09,3395.26,8.8277e+08,2.06517e+16,3.98699e+12,1.33839e+21,2.23125e+09,147393
3.48e-09,3420.88,8.89297e+08,2.06852e+16,4.00675e+12,1.33813e+21,2.24676e+09,148459
3.51e-09,3446.5,8.95824e+08,2.07187e+16,4.02651e+12,1.33787e+21,2.26228e+09,149525
3.54e-09,3472.12,9.02351e+08,2.07522e+16,4.04627e+12,1.33761e+21,2.2778e+09,150590
3.57e-09,3497.74,9.08878e+08,2.07857e+16,4.06603e+12,1.33735e+21,2.29332e+09,151656
3.6e-09,3523.36,9.15405e+08,2.08192e+16,4.08579e+12,1.33709e+21,2.30884e+09,152722
3.63e-09,3546.36,9.2045e+08,2.08104e+16,4.09781e+12,1.33588e+21,2.32203e+09,153549
3.66e-09,3569.36,9.25496e+08,2.08016e+16,4.10982e+12,1.33467e+21,2.33522e+09,154377
3.69e-09,3592.36,9.30542e+08,2.07927e+16,4.12183e+12,1.33347e+21,2.34841e+09,155204
3.72e-09,3615.36,9.35588e+08,2.07839e+16,4.13385e+12,1.33226e+21,2.3616e+09,156031
3.75e-09,3638.37,9.40633e+08,2.07751e+16,4.14586e+12,1.33105e+21,2.37479e+09,156859
3.78e-09,3661.37,9.45679e+08,2.07663e+16,4.15787e+12,1.32985e+21,2.38798e+09,157686
3.81e-09,3684.37,9.50725e+08,2.07575e+16,4.16989e+12,1.32864e+21,2.40116e+09,158513
