"arc_length","cb","6","1","2","4","5","3"
4.26e-09,1.95175e+09,1.61046e+06,1.31259e+21,5.76803e+16,3.06089e+10,5.09801e+07,4.10026e+13
4.29e-09,1.96052e+09,1.61967e+06,1.31111e+21,5.76597e+16,3.07631e+10,5.12603e+07,4.11548e+13
4.32e-09,1.96929e+09,1.62887e+06,1.30964e+21,5.76391e+16,3.09172e+10,5.15405e+07,4.13071e+13
4.35e-09,1.97806e+09,1.63808e+06,1.30817e+21,5.76185e+16,3.10714e+10,5.18207e+07,4.14593e+13
4.38e-09,1.98683e+09,1.64729e+06,1.3067e+21,5.75979e+16,3.12256e+10,5.21008e+07,4.16115e+13
4.41e-09,1.9956e+09,1.6565e+06,1.30523e+21,5.75773e+16,3.13798e+10,5.2381e+07,4.17638e+13
4.44e-09,2.00437e+09,1.6657e+06,1.30376e+21,5.75567e+16,3.15339e+10,5.26612e+07,4.1916e+13
4.47e-09,2.01314e+09,1.67491e+06,1.30229e+21,5.75361e+16,3.16881e+10,5.29414e+07,4.20683e+13
4.5e-09,2.02191e+09,1.68412e+06,1.30082e+21,5.75155e+16,3.18423e+10,5.32216e+07,4.22205e+13
4.53e-09,2.03068e+09,1.69332e+06,1.29935e+21,5.74949e+16,3.19964e+10,5.35018e+07,4.23727e+13
4.56e-09,2.03944e+09,1.70253e+06,1.29788e+21,5.74743e+16,3.21506e+10,5.3782e+07,4.2525e+13
4.59e-09,2.04821e+09,1.71174e+06,1.29641e+21,5.74537e+16,3.23048e+10,5.40622e+07,4.26772e+13
4.62e-09,2.05698e+09,1.72094e+06,1.29494e+21,5.74331e+16,3.2459e+10,5.43424e+07,4.28295e+13
4.65e-09,2.06575e+09,1.73015e+06,1.29347e+21,5.74125e+16,3.26131e+10,5.46226e+07,4.29817e+13
4.68e-09,2.07452e+09,1.73936e+06,1.292e+21,5.73919e+16,3.27673e+10,5.49028e+07,4.3134e+13
4.71e-09,2.08329e+09,1.74856e+06,1.29053e+21,5.73714e+16,3.29215e+10,5.5183e+07,4.32862e+13
4.74e-09,2.09206e+09,1.75777e+06,1.28906e+21,5.73508e+16,3.30757e+10,5.54632e+07,4.34384e+13
4.77e-09,2.10083e+09,1.76698e+06,1.28759e+21,5.73302e+16,3.32298e+10,5.57434e+07,4.35907e+13
4.8e-09,2.1096e+09,1.77618e+06,1.28612e+21,5.73096e+16,3.3384e+10,5.60236e+07,4.37429e+13
4.83e-09,2.11683e+09,1.78458e+06,1.28459e+21,5.72441e+16,3.35169e+10,5.62746e+07,4.38577e+13
4.86e-09,2.12406e+09,1.79298e+06,1.28307e+21,5.71786e+16,3.36498e+10,5.65255e+07,4.39725e+13
4.89e-09,2.1313e+09,1.80137e+06,1.28155e+21,5.71131e+16,3.37827e+10,5.67764e+07,4.40872e+13
4.92e-09,2.13853e+09,1.80977e+06,1.28003e+21,5.70476e+16,3.39155e+10,5.70274e+07,4.4202e+13
4.95e-09,2.14576e+09,1.81817e+06,1.2785e+21,5.6982e+16,3.40484e+10,5.72783e+07,4.43168e+13
4.98e-09,2.15299e+09,1.82656e+06,1.27698e+21,5.69165e+16,3.41813e+10,5.75293e+07,4.44315e+13
5.01e-09,2.16023e+09,1.83496e+06,1.27546e+21,5.6851e+16,3.43142e+10,5.77802e+07,4.45463e+13
5.04e-09,2.16746e+09,1.84336e+06,1.27393e+21,5.67855e+16,3.44471e+10,5.80311e+07,4.46611e+13
5.07e-09,2.17469e+09,1.85175e+06,1.27241e+21,5.672e+16,3.458e+10,5.82821e+07,4.47759e+13
5.1e-09,2.18192e+09,1.86015e+06,1.27089e+21,5.66545e+16,3.47129e+10,5.8533e+07,4.48906e+13
5.13e-09,2.18916e+09,1.86855e+06,1.26937e+21,5.6589e+16,3.48458e+10,5.8784e+07,4.50054e+13
