"arc_length","cb","6","5","4","2","3","1"
2.52e-09,1.5283e+22,5.4226e+11,1.14116e+12,4.6354e+14,1.07137e+19,1.06832e+17,4.92751e+21
2.55e-09,1.54608e+22,5.47379e+11,1.15191e+12,4.6786e+14,1.07786e+19,1.07772e+17,4.90061e+21
2.58e-09,1.56386e+22,5.52498e+11,1.16266e+12,4.7218e+14,1.08435e+19,1.08713e+17,4.87372e+21
2.61e-09,1.58164e+22,5.57618e+11,1.17341e+12,4.765e+14,1.09084e+19,1.09653e+17,4.84682e+21
2.64e-09,1.59943e+22,5.62737e+11,1.18417e+12,4.8082e+14,1.09733e+19,1.10593e+17,4.81992e+21
2.67e-09,1.61721e+22,5.67856e+11,1.19492e+12,4.8514e+14,1.10382e+19,1.11533e+17,4.79303e+21
2.7e-09,1.63499e+22,5.72975e+11,1.20567e+12,4.8946e+14,1.1103e+19,1.12473e+17,4.76613e+21
2.73e-09,1.65277e+22,5.78094e+11,1.21642e+12,4.9378e+14,1.11679e+19,1.13413e+17,4.73923e+21
2.76e-09,1.67055e+22,5.83213e+11,1.22717e+12,4.981e+14,1.12328e+19,1.14354e+17,4.71234e+21
2.79e-09,1.68833e+22,5.88332e+11,1.23792e+12,5.0242e+14,1.12977e+19,1.15294e+17,4.68544e+21
2.82e-09,1.70612e+22,5.93451e+11,1.24868e+12,5.0674e+14,1.13626e+19,1.16234e+17,4.65855e+21
2.85e-09,1.7239e+22,5.98571e+11,1.25943e+12,5.1106e+14,1.14275e+19,1.17174e+17,4.63165e+21
2.88e-09,1.74168e+22,6.0369e+11,1.27018e+12,5.1538e+14,1.14924e+19,1.18114e+17,4.60475e+21
2.91e-09,1.75946e+22,6.08809e+11,1.28093e+12,5.197e+14,1.15573e+19,1.19054e+17,4.57786e+21
2.94e-09,1.77724e+22,6.13928e+11,1.29168e+12,5.2402e+14,1.16222e+19,1.19995e+17,4.55096e+21
2.97e-09,1.79502e+22,6.19047e+11,1.30243e+12,5.2834e+14,1.1687e+19,1.20935e+17,4.52406e+21
3e-09,1.81281e+22,6.24166e+11,1.31318e+12,5.3266e+14,1.17519e+19,1.21875e+17,4.49717e+21
3.03e-09,1.82561e+22,6.28462e+11,1.32219e+12,5.36254e+14,1.17917e+19,1.22628e+17,4.46145e+21
3.06e-09,1.83842e+22,6.32758e+11,1.3312e+12,5.39847e+14,1.18315e+19,1.23381e+17,4.42573e+21
3.09e-09,1.85123e+22,6.37054e+11,1.34021e+12,5.4344e+14,1.18714e+19,1.24134e+17,4.39002e+21
3.12e-09,1.86404e+22,6.4135e+11,1.34922e+12,5.47033e+14,1.19112e+19,1.24887e+17,4.3543e+21
3.15e-09,1.87685e+22,6.45646e+11,1.35823e+12,5.50626e+14,1.1951e+19,1.2564e+17,4.31859e+21
3.18e-09,1.88966e+22,6.49942e+11,1.36724e+12,5.54219e+14,1.19908e+19,1.26393e+17,4.28287e+21
3.21e-09,1.90247e+22,6.54237e+11,1.37625e+12,5.57812e+14,1.20306e+19,1.27146e+17,4.24715e+21
3.24e-09,1.91528e+22,6.58533e+11,1.38526e+12,5.61405e+14,1.20704e+19,1.27899e+17,4.21144e+21
3.27e-09,1.92809e+22,6.62829e+11,1.39427e+12,5.64999e+14,1.21102e+19,1.28652e+17,4.17572e+21
3.3e-09,1.94089e+22,6.67125e+11,1.40328e+12,5.68592e+14,1.215e+19,1.29406e+17,4.14e+21
3.33e-09,1.9537e+22,6.71421e+11,1.41229e+12,5.72185e+14,1.21898e+19,1.30159e+17,4.10429e+21
3.36e-09,1.96651e+22,6.75717e+11,1.4213e+12,5.75778e+14,1.22296e+19,1.30912e+17,4.06857e+21
3.39e-09,1.97932e+22,6.80013e+11,1.43031e+12,5.79371e+14,1.22694e+19,1.31665e+17,4.03286e+21
3.42e-09,1.99213e+22,6.84309e+11,1.43932e+12,5.82964e+14,1.23092e+19,1.32418e+17,3.99714e+21
3.45e-09,2.00494e+22,6.88605e+11,1.44833e+12,5.86557e+14,1.2349e+19,1.33171e+17,3.96142e+21
3.48e-09,2.01775e+22,6.92901e+11,1.45734e+12,5.90151e+14,1.23888e+19,1.33924e+17,3.92571e+21
3.51e-09,2.03056e+22,6.97196e+11,1.46635e+12,5.93744e+14,1.24286e+19,1.34677e+17,3.88999e+21
3.54e-09,2.04337e+22,7.01492e+11,1.47536e+12,5.97337e+14,1.24684e+19,1.3543e+17,3.85427e+21
3.57e-09,2.05617e+22,7.05788e+11,1.48437e+12,6.0093e+14,1.25082e+19,1.36183e+17,3.81856e+21
3.6e-09,2.06898e+22,7.10084e+11,1.49338e+12,6.04523e+14,1.2548e+19,1.36936e+17,3.78284e+21
3.63e-09,2.07823e+22,7.13586e+11,1.50072e+12,6.07423e+14,1.25698e+19,1.37519e+17,3.74892e+21
3.66e-09,2.08748e+22,7.17087e+11,1.50805e+12,6.10323e+14,1.25915e+19,1.38103e+17,3.71499e+21
3.69e-09,2.09673e+22,7.20589e+11,1.51538e+12,6.13222e+14,1.26132e+19,1.38686e+17,3.68107e+21
3.72e-09,2.10598e+22,7.2409e+11,1.52271e+12,6.16122e+14,1.2635e+19,1.39269e+17,3.64715e+21
3.75e-09,2.11523e+22,7.27592e+11,1.53004e+12,6.19022e+14,1.26567e+19,1.39852e+17,3.61322e+21
3.78e-09,2.12448e+22,7.31093e+11,1.53738e+12,6.21921e+14,1.26784e+19,1.40436e+17,3.5793e+21
3.81e-09,2.13373e+22,7.34595e+11,1.54471e+12,6.24821e+14,1.27002e+19,1.41019e+17,3.54537e+21
3.84e-09,2.14297e+22,7.38097e+11,1.55204e+12,6.27721e+14,1.27219e+19,1.41602e+17,3.51145e+21
3.87e-09,2.15222e+22,7.41598e+11,1.55937e+12,6.3062e+14,1.27436e+19,1.42185e+17,3.47753e+21
3.9e-09,2.16147e+22,7.451e+11,1.5667e+12,6.3352e+14,1.27654e+19,1.42769e+17,3.4436e+21
3.93e-09,2.17072e+22,7.48601e+11,1.57404e+12,6.3642e+14,1.27871e+19,1.43352e+17,3.40968e+21
3.96e-09,2.17997e+22,7.52103e+11,1.58137e+12,6.3932e+14,1.28088e+19,1.43935e+17,3.37576e+21
