"cb","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
7.5521e+14,1,5.79e-09,5.79e-09,0,0
7.5708e+14,1,5.82e-09,5.82e-09,0,0
7.5896e+14,1,5.85e-09,5.85e-09,0,0
7.6083e+14,1,5.88e-09,5.88e-09,0,0
7.6271e+14,1,5.91e-09,5.91e-09,0,0
7.6458e+14,1,5.94e-09,5.94e-09,0,0
7.6645e+14,1,5.97e-09,5.97e-09,0,0
7.6833e+14,1,6e-09,6e-09,0,0
7.6975e+14,1,6.03e-09,6.03e-09,0,0
7.7117e+14,1,6.06e-09,6.06e-09,0,0
7.7259e+14,1,6.09e-09,6.09e-09,0,0
7.7402e+14,1,6.12e-09,6.12e-09,0,0
7.7544e+14,1,6.15e-09,6.15e-09,0,0
7.7686e+14,1,6.18e-09,6.18e-09,0,0
7.7828e+14,1,6.21e-09,6.21e-09,0,0
7.797e+14,1,6.24e-09,6.24e-09,0,0
7.8112e+14,1,6.27e-09,6.27e-09,0,0
7.8254e+14,1,6.3e-09,6.3e-09,0,0
7.8397e+14,1,6.33e-09,6.33e-09,0,0
7.8539e+14,1,6.36e-09,6.36e-09,0,0
7.8681e+14,1,6.39e-09,6.39e-09,0,0
7.8823e+14,1,6.42e-09,6.42e-09,0,0
7.8965e+14,1,6.45e-09,6.45e-09,0,0
7.9107e+14,1,6.48e-09,6.48e-09,0,0
7.925e+14,1,6.51e-09,6.51e-09,0,0
7.9392e+14,1,6.54e-09,6.54e-09,0,0
7.9534e+14,1,6.57e-09,6.57e-09,0,0
7.9676e+14,1,6.6e-09,6.6e-09,0,0
7.9775e+14,1,6.63e-09,6.63e-09,0,0
7.9874e+14,1,6.66e-09,6.66e-09,0,0
7.9972e+14,1,6.69e-09,6.69e-09,0,0
8.0071e+14,1,6.72e-09,6.72e-09,0,0
8.017e+14,1,6.75e-09,6.75e-09,0,0
8.0269e+14,1,6.78e-09,6.78e-09,0,0
8.0368e+14,1,6.81e-09,6.81e-09,0,0
8.0466e+14,1,6.84e-09,6.84e-09,0,0
8.0565e+14,1,6.87e-09,6.87e-09,0,0
8.0664e+14,1,6.9e-09,6.9e-09,0,0
8.0763e+14,1,6.93e-09,6.93e-09,0,0
8.0862e+14,1,6.96e-09,6.96e-09,0,0
8.096e+14,1,6.99e-09,6.99e-09,0,0
8.1059e+14,1,7.02e-09,7.02e-09,0,0
8.1158e+14,1,7.05e-09,7.05e-09,0,0
8.1257e+14,1,7.08e-09,7.08e-09,0,0
8.1355e+14,1,7.11e-09,7.11e-09,0,0
8.1454e+14,1,7.14e-09,7.14e-09,0,0
8.1553e+14,1,7.17e-09,7.17e-09,0,0
8.1652e+14,1,7.2e-09,7.2e-09,0,0
8.171e+14,1,7.23e-09,7.23e-09,0,0
8.1767e+14,1,7.26e-09,7.26e-09,0,0
8.1825e+14,1,7.29e-09,7.29e-09,0,0
8.1883e+14,1,7.32e-09,7.32e-09,0,0
8.1941e+14,1,7.35e-09,7.35e-09,0,0
8.1999e+14,1,7.38e-09,7.38e-09,0,0
8.2056e+14,1,7.41e-09,7.41e-09,0,0
8.2114e+14,1,7.44e-09,7.44e-09,0,0
8.2172e+14,1,7.47e-09,7.47e-09,0,0
8.223e+14,1,7.5e-09,7.5e-09,0,0
8.2288e+14,1,7.53e-09,7.53e-09,0,0
8.2345e+14,1,7.56e-09,7.56e-09,0,0
8.2403e+14,1,7.59e-09,7.59e-09,0,0
8.2461e+14,1,7.62e-09,7.62e-09,0,0
8.2519e+14,1,7.65e-09,7.65e-09,0,0
8.2576e+14,1,7.68e-09,7.68e-09,0,0
8.2634e+14,1,7.71e-09,7.71e-09,0,0
8.2692e+14,1,7.74e-09,7.74e-09,0,0
8.275e+14,1,7.77e-09,7.77e-09,0,0
8.2808e+14,1,7.8e-09,7.8e-09,0,0
8.2827e+14,1,7.83e-09,7.83e-09,0,0
8.2847e+14,1,7.86e-09,7.86e-09,0,0
8.2866e+14,1,7.89e-09,7.89e-09,0,0
8.2886e+14,1,7.92e-09,7.92e-09,0,0
8.2905e+14,1,7.95e-09,7.95e-09,0,0
8.2925e+14,1,7.98e-09,7.98e-09,0,0
8.2944e+14,1,8.01e-09,8.01e-09,0,0
8.2964e+14,1,8.04e-09,8.04e-09,0,0
8.2983e+14,1,8.07e-09,8.07e-09,0,0
8.3003e+14,1,8.1e-09,8.1e-09,0,0
8.3022e+14,1,8.13e-09,8.13e-09,0,0
8.3042e+14,1,8.16e-09,8.16e-09,0,0
8.3061e+14,1,8.19e-09,8.19e-09,0,0
8.3081e+14,1,8.22e-09,8.22e-09,0,0
8.31e+14,1,8.25e-09,8.25e-09,0,0
8.312e+14,1,8.28e-09,8.28e-09,0,0
8.3139e+14,1,8.31e-09,8.31e-09,0,0
8.3159e+14,1,8.34e-09,8.34e-09,0,0
8.3178e+14,1,8.37e-09,8.37e-09,0,0
8.3198e+14,1,8.4e-09,8.4e-09,0,0
8.3182e+14,1,8.43e-09,8.43e-09,0,0
8.3166e+14,1,8.46e-09,8.46e-09,0,0
8.315e+14,1,8.49e-09,8.49e-09,0,0
8.3135e+14,1,8.52e-09,8.52e-09,0,0
8.3119e+14,1,8.55e-09,8.55e-09,0,0
8.3103e+14,1,8.58e-09,8.58e-09,0,0
8.3087e+14,1,8.61e-09,8.61e-09,0,0
8.3072e+14,1,8.64e-09,8.64e-09,0,0
8.3056e+14,1,8.67e-09,8.67e-09,0,0
8.304e+14,1,8.7e-09,8.7e-09,0,0
8.3024e+14,1,8.73e-09,8.73e-09,0,0
8.3008e+14,1,8.76e-09,8.76e-09,0,0
8.2993e+14,1,8.79e-09,8.79e-09,0,0
8.2977e+14,1,8.82e-09,8.82e-09,0,0
8.2961e+14,1,8.85e-09,8.85e-09,0,0
8.2945e+14,1,8.88e-09,8.88e-09,0,0
8.293e+14,1,8.91e-09,8.91e-09,0,0
8.2914e+14,1,8.94e-09,8.94e-09,0,0
8.2898e+14,1,8.97e-09,8.97e-09,0,0
8.2882e+14,1,9e-09,9e-09,0,0
8.2834e+14,1,9.03e-09,9.03e-09,0,0
8.2787e+14,1,9.06e-09,9.06e-09,0,0
8.2739e+14,1,9.09e-09,9.09e-09,0,0
8.2691e+14,1,9.12e-09,9.12e-09,0,0
8.2643e+14,1,9.15e-09,9.15e-09,0,0
8.2595e+14,1,9.18e-09,9.18e-09,0,0
8.2547e+14,1,9.21e-09,9.21e-09,0,0
8.2499e+14,1,9.24e-09,9.24e-09,0,0
8.2451e+14,1,9.27e-09,9.27e-09,0,0
8.2404e+14,1,9.3e-09,9.3e-09,0,0
8.2356e+14,1,9.33e-09,9.33e-09,0,0
8.2308e+14,1,9.36e-09,9.36e-09,0,0
8.226e+14,1,9.39e-09,9.39e-09,0,0
8.2212e+14,1,9.42e-09,9.42e-09,0,0
8.2164e+14,1,9.45e-09,9.45e-09,0,0
8.2116e+14,1,9.48e-09,9.48e-09,0,0
8.2069e+14,1,9.51e-09,9.51e-09,0,0
8.2021e+14,1,9.54e-09,9.54e-09,0,0
8.1973e+14,1,9.57e-09,9.57e-09,0,0
8.1925e+14,1,9.6e-09,9.6e-09,0,0
8.1848e+14,1,9.63e-09,9.63e-09,0,0
8.1772e+14,1,9.66e-09,9.66e-09,0,0
8.1695e+14,1,9.69e-09,9.69e-09,0,0
8.1618e+14,1,9.72e-09,9.72e-09,0,0
8.1542e+14,1,9.75e-09,9.75e-09,0,0
8.1465e+14,1,9.78e-09,9.78e-09,0,0
8.1388e+14,1,9.81e-09,9.81e-09,0,0
8.1312e+14,1,9.84e-09,9.84e-09,0,0
8.1235e+14,1,9.87e-09,9.87e-09,0,0
8.1159e+14,1,9.9e-09,9.9e-09,0,0
8.1082e+14,1,9.93e-09,9.93e-09,0,0
8.1005e+14,1,9.96e-09,9.96e-09,0,0
8.0929e+14,1,9.99e-09,9.99e-09,0,0
8.0852e+14,1,1.002e-08,1.002e-08,0,0
8.0775e+14,1,1.005e-08,1.005e-08,0,0
8.0699e+14,1,1.008e-08,1.008e-08,0,0
8.0622e+14,1,1.011e-08,1.011e-08,0,0
8.0545e+14,1,1.014e-08,1.014e-08,0,0
8.0469e+14,1,1.017e-08,1.017e-08,0,0
8.0392e+14,1,1.02e-08,1.02e-08,0,0
8.029e+14,1,1.023e-08,1.023e-08,0,0
8.0188e+14,1,1.026e-08,1.026e-08,0,0
8.0086e+14,1,1.029e-08,1.029e-08,0,0
7.9984e+14,1,1.032e-08,1.032e-08,0,0
7.9882e+14,1,1.035e-08,1.035e-08,0,0
7.978e+14,1,1.038e-08,1.038e-08,0,0
7.9678e+14,1,1.041e-08,1.041e-08,0,0
7.9576e+14,1,1.044e-08,1.044e-08,0,0
7.9474e+14,1,1.047e-08,1.047e-08,0,0
