"ib","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.1716e+07,1,3.34e-08,3.34e-08,0,0
1.1699e+07,1,3.36e-08,3.36e-08,0,0
1.1682e+07,1,3.38e-08,3.38e-08,0,0
1.1665e+07,1,3.4e-08,3.4e-08,0,0
1.1648e+07,1,3.42e-08,3.42e-08,0,0
1.1631e+07,1,3.44e-08,3.44e-08,0,0
1.1614e+07,1,3.46e-08,3.46e-08,0,0
1.1597e+07,1,3.48e-08,3.48e-08,0,0
1.158e+07,1,3.5e-08,3.5e-08,0,0
1.1563e+07,1,3.52e-08,3.52e-08,0,0
1.1546e+07,1,3.54e-08,3.54e-08,0,0
1.1529e+07,1,3.56e-08,3.56e-08,0,0
1.1512e+07,1,3.58e-08,3.58e-08,0,0
1.1495e+07,1,3.6e-08,3.6e-08,0,0
1.1478e+07,1,3.62e-08,3.62e-08,0,0
1.1462e+07,1,3.64e-08,3.64e-08,0,0
1.1445e+07,1,3.66e-08,3.66e-08,0,0
1.1428e+07,1,3.68e-08,3.68e-08,0,0
1.1411e+07,1,3.7e-08,3.7e-08,0,0
1.1395e+07,1,3.72e-08,3.72e-08,0,0
1.1378e+07,1,3.74e-08,3.74e-08,0,0
1.1361e+07,1,3.76e-08,3.76e-08,0,0
1.1345e+07,1,3.78e-08,3.78e-08,0,0
1.1328e+07,1,3.8e-08,3.8e-08,0,0
1.1311e+07,1,3.82e-08,3.82e-08,0,0
1.1295e+07,1,3.84e-08,3.84e-08,0,0
1.1278e+07,1,3.86e-08,3.86e-08,0,0
1.1262e+07,1,3.88e-08,3.88e-08,0,0
1.1245e+07,1,3.9e-08,3.9e-08,0,0
1.1229e+07,1,3.92e-08,3.92e-08,0,0
1.1212e+07,1,3.94e-08,3.94e-08,0,0
1.1196e+07,1,3.96e-08,3.96e-08,0,0
1.118e+07,1,3.98e-08,3.98e-08,0,0
1.1163e+07,1,4e-08,4e-08,0,0
1.1147e+07,1,4.02e-08,4.02e-08,0,0
1.1131e+07,1,4.04e-08,4.04e-08,0,0
1.1114e+07,1,4.06e-08,4.06e-08,0,0
1.1098e+07,1,4.08e-08,4.08e-08,0,0
1.1082e+07,1,4.1e-08,4.1e-08,0,0
1.1066e+07,1,4.12e-08,4.12e-08,0,0
1.1049e+07,1,4.14e-08,4.14e-08,0,0
1.1033e+07,1,4.16e-08,4.16e-08,0,0
1.1017e+07,1,4.18e-08,4.18e-08,0,0
1.1001e+07,1,4.2e-08,4.2e-08,0,0
1.0985e+07,1,4.22e-08,4.22e-08,0,0
1.0969e+07,1,4.24e-08,4.24e-08,0,0
1.0953e+07,1,4.26e-08,4.26e-08,0,0
1.0937e+07,1,4.28e-08,4.28e-08,0,0
1.0921e+07,1,4.3e-08,4.3e-08,0,0
1.0905e+07,1,4.32e-08,4.32e-08,0,0
1.0889e+07,1,4.34e-08,4.34e-08,0,0
1.0873e+07,1,4.36e-08,4.36e-08,0,0
1.0857e+07,1,4.38e-08,4.38e-08,0,0
1.0841e+07,1,4.4e-08,4.4e-08,0,0
1.0825e+07,1,4.42e-08,4.42e-08,0,0
1.0809e+07,1,4.44e-08,4.44e-08,0,0
1.0794e+07,1,4.46e-08,4.46e-08,0,0
1.0778e+07,1,4.48e-08,4.48e-08,0,0
1.0762e+07,1,4.5e-08,4.5e-08,0,0
1.0746e+07,1,4.52e-08,4.52e-08,0,0
1.0731e+07,1,4.54e-08,4.54e-08,0,0
1.0715e+07,1,4.56e-08,4.56e-08,0,0
1.0699e+07,1,4.58e-08,4.58e-08,0,0
1.0684e+07,1,4.6e-08,4.6e-08,0,0
1.0668e+07,1,4.62e-08,4.62e-08,0,0
1.0652e+07,1,4.64e-08,4.64e-08,0,0
1.0637e+07,1,4.66e-08,4.66e-08,0,0
1.0621e+07,1,4.68e-08,4.68e-08,0,0
1.0606e+07,1,4.7e-08,4.7e-08,0,0
1.059e+07,1,4.72e-08,4.72e-08,0,0
1.0575e+07,1,4.74e-08,4.74e-08,0,0
1.0559e+07,1,4.76e-08,4.76e-08,0,0
1.0544e+07,1,4.78e-08,4.78e-08,0,0
1.0529e+07,1,4.8e-08,4.8e-08,0,0
1.0513e+07,1,4.82e-08,4.82e-08,0,0
1.0498e+07,1,4.84e-08,4.84e-08,0,0
1.0483e+07,1,4.86e-08,4.86e-08,0,0
1.0467e+07,1,4.88e-08,4.88e-08,0,0
1.0452e+07,1,4.9e-08,4.9e-08,0,0
1.0437e+07,1,4.92e-08,4.92e-08,0,0
1.0422e+07,1,4.94e-08,4.94e-08,0,0
1.0406e+07,1,4.96e-08,4.96e-08,0,0
1.0391e+07,1,4.98e-08,4.98e-08,0,0
1.0376e+07,1,5e-08,5e-08,0,0
1.0361e+07,1,5.02e-08,5.02e-08,0,0
1.0346e+07,1,5.04e-08,5.04e-08,0,0
1.0331e+07,1,5.06e-08,5.06e-08,0,0
1.0316e+07,1,5.08e-08,5.08e-08,0,0
1.0301e+07,1,5.1e-08,5.1e-08,0,0
1.0286e+07,1,5.12e-08,5.12e-08,0,0
1.0271e+07,1,5.14e-08,5.14e-08,0,0
1.0256e+07,1,5.16e-08,5.16e-08,0,0
1.0241e+07,1,5.18e-08,5.18e-08,0,0
1.0226e+07,1,5.2e-08,5.2e-08,0,0
1.0211e+07,1,5.22e-08,5.22e-08,0,0
1.0196e+07,1,5.24e-08,5.24e-08,0,0
1.0181e+07,1,5.26e-08,5.26e-08,0,0
1.0166e+07,1,5.28e-08,5.28e-08,0,0
1.0151e+07,1,5.3e-08,5.3e-08,0,0
1.0137e+07,1,5.32e-08,5.32e-08,0,0
1.0122e+07,1,5.34e-08,5.34e-08,0,0
1.0107e+07,1,5.36e-08,5.36e-08,0,0
1.0092e+07,1,5.38e-08,5.38e-08,0,0
1.0078e+07,1,5.4e-08,5.4e-08,0,0
1.0063e+07,1,5.42e-08,5.42e-08,0,0
1.0049e+07,1,5.44e-08,5.44e-08,0,0
1.0034e+07,1,5.46e-08,5.46e-08,0,0
1.0019e+07,1,5.48e-08,5.48e-08,0,0
1.0005e+07,1,5.5e-08,5.5e-08,0,0
9.9903e+06,1,5.52e-08,5.52e-08,0,0
9.9757e+06,1,5.54e-08,5.54e-08,0,0
9.9612e+06,1,5.56e-08,5.56e-08,0,0
9.9467e+06,1,5.58e-08,5.58e-08,0,0
9.9323e+06,1,5.6e-08,5.6e-08,0,0
9.9179e+06,1,5.62e-08,5.62e-08,0,0
9.9035e+06,1,5.64e-08,5.64e-08,0,0
9.8891e+06,1,5.66e-08,5.66e-08,0,0
9.8748e+06,1,5.68e-08,5.68e-08,0,0
9.8605e+06,1,5.7e-08,5.7e-08,0,0
9.8462e+06,1,5.72e-08,5.72e-08,0,0
