XHe1_500,YHe1_500,XHe1_1000,YHe1_1000,XHe1_1500,YHe1_1500,XHe2_500,YHe2_500,XHe2_1000,YHe2_1000,XHe2_1500,YHe2_1500,XHe3_500,YHe3_500,XHe3_1000,YHe3_1000,XHe3_1500,YHe3_1500,XHe4_500,YHe4_500,XHe4_1000,YHe4_1000,XHe4_1500,YHe4_1500,XHe5_500,YHe5_500,XHe5_1000,YHe5_1000,XHe5_1500,YHe5_1500,XHe6_500,YHe6_500,XHe6_1000,YHe6_1000,XHe6_1500,YHe6_1500,Xcb_500,Ycb_500,Xcb_1000,Ycb_1000,Xcb_1500,Ycb_1500
1.0227378550364737e-8,425762753709839160000,1.1008638096651204e-8,1.4726082170217612e+21,1.1173529620478547e-8,965010203525305200000,1.0756324693465779e-8,9931273003323780000,1.076130081091019e-8,982508749185232100,1.121475250143538e-8,12723712537447176,1.0345446885878362e-8,126671307417912400,1.0647937888278896e-8,6612328509056442,1.0301960137391168e-8,2751978729804.709,1.0829527061484226e-8,775131912978606.2,1.0283115391810903e-8,33071050123882.797,1.0862067853249123e-8,4061093081.203895,1.1751771948885097e-8,1897829307342.086,9.90592603105586e-9,244482737061.11313,,,1.0062082880645664e-8,3490758054094.3555,9.936843191773485e-9,4727999930.839745,,,1.010340679807543e-8,4.8754257954227945e+22,1.6367612621039796e-8,81855401899114970000,1.1874318596744746e-8,5215379162285365
1.0916110507527552e-8,364339365048236900000,1.2245324525356263e-8,1.3944637270890292e+21,1.2080433001528923e-8,955849154507136300000,1.1825236690982463e-8,9260325595592760000,1.1767139106256975e-8,867232496117965200,1.3830115282141267e-8,9506837784181882,1.128113844482384e-8,125961293120618770,1.160407971047216e-8,6726811156863612,1.1173529620478547e-8,2459360653590.521,1.1663384681049201e-8,717816331851866.8,1.1255975382392217e-8,34751636115998.184,1.1709427072917403e-8,3876060090.7469125,1.2954757100729474e-8,1932332935629.5688,1.0867302504799195e-8,240703544398.29272,,,1.0971209064100575e-8,3392283294063.0283,1.0843746572823864e-8,4822679152.4620075,,,1.2293574421853176e-8,4.7832982469385185e+22,1.7563076168788018e-8,65815374168786030000,1.3976685525543348e-8,4259952468856801
1.2210926586993636e-8,277174414831878800000,1.3111005025449805e-8,1.3793396558998935e+21,1.283893401113469e-8,916562663564115400000,1.2725179781675204e-8,8942046522989423000,1.2716443164862954e-8,839319946730831400,1.5600867035242658e-8,5107075619079016,1.2275208236328832e-8,115583720496803540,1.2561366612692001e-8,6318603306144619,1.2107914922166815e-8,2076859497452.9258,1.2614982668529153e-8,708463264233681.8,1.2245324525356263e-8,33071050123882.797,1.2648392694711986e-8,3831134426.315874,1.3863883284184388e-8,1913988884263.0305,1.186842961375091e-8,240703544398.29272,,,1.1880335247555489e-8,3457619538535.375,1.175064995387424e-8,4775104888.82729,,,1.3202700605308087e-8,3.952542604889455e+22,1.8387533787924727e-8,65815374168786030000,1.492481178755056e-8,4012045954847790.5
1.312005277044855e-8,208198112598247340000,1.455380585893904e-8,1.2503949948214717e+21,1.3894239763629678e-8,816652634040934900000,1.3781235449324851e-8,8435704769856295000,1.3719042519563126e-8,712668480533507200,1.6507770416293034e-8,4846054462582596,1.3264686481452739e-8,109038813408752800,1.3705792307827e-8,6014455703241270,1.3001077342898243e-8,1826892110304.0771,1.3574615862176008e-8,637895209051881.5,1.3131616465928222e-8,33524938122451.418,1.3552678749987326e-8,3596184237.5959063,1.4773009467639299e-8,1913988884263.0305,1.2657553334924616e-8,244482737061.11313,,,1.27894614310104e-8,3457619538535.375,1.2657553334924616e-8,4544181246.548746,,,1.4111826788762998e-8,3.952542604889455e+22,1.9679184057905567e-8,52918480350459400000,1.6167387199249452e-8,3835630452359197.5
1.4075094417714317e-8,170766983868783920000,1.546070923998942e-8,1.1323812910715307e+21,1.4801143144680054e-8,774913754319473300000,1.4717910911066273e-8,7595447681381207000,1.4627090980640084e-8,666722838666299800,1.747238583068298e-8,3767255725703134.5,1.449407302498836e-8,100347476082732930,1.4667168781570339e-8,5640112439137563,1.3953129593568013e-8,1644920468640.213,1.4506699777536345e-8,601774509205807.5,1.4120965608892271e-8,33985055566849.29,1.4535484578513782e-8,3254197014.1407566,1.5682135651094213e-8,1895818976913.9897,1.3471705233822113e-8,244482737061.11313,,,1.3698587614465311e-8,3457619538535.375,1.3564456715974995e-8,4115296244.8994465,,,1.4979629054788142e-8,3.4125684108882182e+22,2.0764719923102227e-8,45757333048054440000,1.7604299049744855e-8,2861117484476057
1.5186248641936986e-8,134251676051237730000,1.6367612621039796e-8,1.1212106939048173e+21,1.554315500190309e-8,752027881154840500000,1.5705749318196937e-8,7582808270287354000,1.557063692254098e-8,583526916339442000,1.8377228067685516e-8,3368365727360358.5,1.5465185084587925e-8,99473894363271950,1.57551583896811e-8,5477748000293976,1.4966034668507394e-8,1381014523053.1206,1.545255833203994e-8,601774509205807.5,1.531230686854481e-8,32006632768675.758,1.5481320680467837e-8,3101405202.1549664,1.6591261834549124e-8,1756533778868.4956,1.440069230109937e-8,244482737061.11313,,,1.4607713797920225e-8,3083661248868.415,1.447136009702537e-8,4034504420.9164658,,,1.605405090796213e-8,3.2043545936302243e+22,2.123191257394636e-8,42548805624356640000,1.8944042680842003e-8,2137754977279465.8
1.60953748253919e-8,114155397498888670000,1.7068401597305995e-8,1.1010166809210706e+21,1.686228719252182e-8,652660844771020600000,1.6657380102436754e-8,6736019525567636000,1.666991374805659e-8,536074737593733900,1.9211991407061433e-8,2749926684528452.5,1.6307897829316422e-8,89733547941362080,1.675235950997026e-8,5563751989571489,1.6027523853145904e-8,1129430698276.679,1.6363980288685396e-8,597405674166191.6,1.623020301785034e-8,30752091299479.15,1.648539228091647e-8,2787255630.0630064,1.7500388018004035e-8,1596728420561.1348,1.540181941005108e-8,244482737061.11313,,,1.5516839981375136e-8,3083661248868.415,1.5378263478075747e-8,3726889898.1848326,,,1.7583035852863575e-8,2.5977932151869344e+22,2.332053854242602e-8,26525325839613567000,1.9912780383327633e-8,2082408498042479
1.700450100884681e-8,97067352612832670000,1.834631090696789e-8,919555929250025200000,1.7769190573572195e-8,628228129723169600000,1.755942218576085e-8,6240275991460553000,1.765141091369552e-8,464333938037332740,2.0288366632045464e-8,2566137908634886,1.7368151482228776e-8,86260623629717810,1.7745634641596863e-8,4687539203483781,1.6996261555631534e-8,907666410382.0216,1.7181603512117252e-8,583030210054576.8,1.709130319783757e-8,29297176575055.2,1.7521853287831185e-8,2517998163.217982,1.840951420145895e-8,1536954020394.5815,1.6285166859126126e-8,217061474882.8412,,,1.642596616483005e-8,2884488739751.844,1.6285166859126126e-8,3341847037.2614136,,,1.9153344715194787e-8,2.1060495621447104e+22,2.424707186678917e-8,21438577962031510000,2.0572346478637e-8,1733093268375513.5
1.7913627192301726e-8,87398743608888970000,1.9253214288018267e-8,883804752532762500000,1.8676093954622574e-8,576546676820963000000,1.852889440736717e-8,5809006102368834000,1.8573036752230484e-8,424548757348639200,2.115862745224532e-8,1924819150091600.5,1.81733775304317e-8,79593413475026500,1.85583142947459e-8,4473503403321931,1.7954693537877954e-8,778884277545.3934,1.8326866366599413e-8,494406541865229.5,1.8062331060376356e-8,26914741728166.918,1.844053463486923e-8,2259648098.6101584,1.931864038491386e-8,1522363385945.269,1.7192070240176502e-8,202509112711.21198,,,1.733509234828496e-8,2724040609637.6465,1.7192070240176502e-8,2967024402.052123,,,2.0475710072947385e-8,1.7073894612857862e+22,2.529923682835411e-8,15376615375698379000,2.1809032907342058e-8,1405031123216447.5
1.8822753375756637e-8,74315931175178750000,2.0160117669068646e-8,824552198136323400000,1.958299733567295e-8,519118465989466260000,1.9401288219773397e-8,5544334067226536000,1.9547663437709946e-8,356297927319270400,2.205637019308307e-8,1722107422865690.8,1.9184337653267113e-8,72929594848337170,1.9401616659462875e-8,4282563132781112.5,1.881742954647458e-8,627123864519.9963,1.9190077086243472e-8,487862903873020.6,1.9005877002277257e-8,24926586688462.688,1.9323882083944267e-8,2034570836.6484332,2.0227766568368775e-8,1294479164595.3938,1.8098973621226878e-8,202509112711.21198,,,1.8244218531739873e-8,2724040609637.6465,1.8098973621226878e-8,2713763713.680338,,,2.1591455843551143e-8,1.3841928627458675e+22,2.607560108637451e-8,12140803447137958000,2.2468599002651424e-8,1213083654423318.5
