X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,Xcb,Ycb
1.0779118784244841e-8,1.795538448882706e+21,1.0730685340905533e-8,1065239197100543200,1.0434027627005675e-8,6371322716852586,1.0308499868963258e-8,29333009257123.727,1.0222732034282691e-8,202539838241.4427,1.0216847901861276e-8,4009166776.882717,1.2439116599360805e-8,128394115729614470000
1.149691088905648e-8,1.8045721060828968e+21,1.1461101740320436e-8,941174278045364400,1.1217099978081189e-8,6520117832467970,1.103302870497574e-8,33942305210143.562,1.0940536147527844e-8,205194837888.7658,1.0934652015106429e-8,4061721061.8624344,1.371130205417142e-8,108624332576873200000
1.2214678977001094e-8,1.7848465647981628e+21,1.1974975633537861e-8,944561838148136700,1.1967468361186592e-8,6336873676471446,1.1724679650872724e-8,33217684233990.582,1.1658328252339479e-8,206227207775.29724,1.1652372069316984e-8,3890728951.62136,1.4429094158983058e-8,109170839940561030000
1.2932302963743549e-8,1.6036523956064556e+21,1.2911706784778086e-8,873373470820354300,1.2717832341199702e-8,6140729396250436,1.2435959582190212e-8,33678532144342.99,1.2376192407752194e-8,217462382269.46198,1.237015216569511e-8,3879127602.810643,1.5146886263794697e-8,109720096875100770000
1.3650035026387622e-8,1.5484869888184985e+21,1.3638717077801531e-8,819146245184885100,1.350087827372149e-8,6174440779573550,1.3232033464230356e-8,33355327844609.953,1.3093996520997346e-8,220312994540.33478,1.3087920253639723e-8,3836725367.167044,1.586458230113823e-8,103431823428526540000
1.4367803114332233e-8,1.531560680402308e+21,1.429117043812318e-8,777605687901528600,1.426209220698128e-8,5882200729792442,1.3949765526874429e-8,32207909467575.734,1.3811704566774395e-8,209355586258.0721,1.3805580265682716e-8,3531013578.6977572,1.6582206287880686e-8,92931624877154400000
1.5085511160109278e-8,1.4553875262983438e+21,1.526044830403752e-8,681726907543326300,1.5038872119834925e-8,5715144243331498,1.4667629682287147e-8,33962583290026.71,1.452948466315252e-8,208731331211.8192,1.4523288311459765e-8,3355396350.523224,1.7299890316790707e-8,86907065913284640000
1.58031951890193e-8,1.3610378581519473e+21,1.594831950971173e-8,644877295759483800,1.5719323485990448e-8,5543667340658403,1.538535774212005e-8,32706888155075.348,1.5247252751097134e-8,206449716375.06152,1.5241020374103838e-8,3239971209.065795,1.7978374015340585e-8,78690443958182040000
1.6520915243229857e-8,1.303740290953515e+21,1.6683389348662014e-8,597060016565661400,1.6469630225803816e-8,5170958280167415,1.610308179914178e-8,31413687661176.7,1.5964996822174717e-8,200950020689.69183,1.595863235241278e-8,2887846194.454422,1.8474303105937717e-8,78963766043123780000
1.7238707348041496e-8,1.3102996285571625e+21,1.7348231123642916e-8,551591109501089700,1.722008226766269e-8,5313856819051780,1.680776349652494e-8,30338387776601.836,1.6682788926986356e-8,201961034183.95203,1.6676340398189827e-8,2744217309.2175946,1.9452846336052665e-8,66668122898908760000
1.7825972927037318e-8,1.2992445112194396e+21,1.8107811719334867e-8,498297648502818560,1.7970237100792117e-8,4479264780753434,1.7545056897080723e-8,29010930042789.555,1.7400508981196918e-8,193458790210.1272,1.7393964384932282e-8,2465629678.643639,2.049664339387776e-8,56312750567078140000
1.9000308519111745e-8,1.121282653307816e+21,1.8760261934590595e-8,472037307946828400,1.872065611945883e-8,4502827768903570,1.8256229953339945e-8,27390825733456.633,1.8118301086008556e-8,194432114058.5866,1.811168443914284e-8,2361830521.7337995,2.1624338230187332e-8,47593758709410550000
