"arc_length","1","2","6","3","4","5","cb"
3.54e-09,2.21634e+21,2.06512e+18,4.6463e+10,1.03976e+16,4.28571e+13,2.59247e+11,5.71503e+15
3.57e-09,2.2159e+21,2.07822e+18,4.68335e+10,1.04778e+16,4.31968e+13,2.61313e+11,5.75977e+15
3.6e-09,2.21545e+21,2.09131e+18,4.72041e+10,1.0558e+16,4.35365e+13,2.63378e+11,5.80451e+15
3.63e-09,2.21344e+21,2.10234e+18,4.75588e+10,1.06332e+16,4.38604e+13,2.65354e+11,5.8421e+15
3.66e-09,2.21143e+21,2.11337e+18,4.79136e+10,1.07083e+16,4.41843e+13,2.6733e+11,5.8797e+15
3.69e-09,2.20942e+21,2.1244e+18,4.82684e+10,1.07835e+16,4.45082e+13,2.69306e+11,5.91729e+15
3.72e-09,2.2074e+21,2.13543e+18,4.86231e+10,1.08586e+16,4.48321e+13,2.71282e+11,5.95489e+15
3.75e-09,2.20539e+21,2.14646e+18,4.89779e+10,1.09338e+16,4.5156e+13,2.73257e+11,5.99248e+15
3.78e-09,2.20338e+21,2.15749e+18,4.93327e+10,1.1009e+16,4.54799e+13,2.75233e+11,6.03008e+15
3.81e-09,2.20137e+21,2.16852e+18,4.96874e+10,1.10841e+16,4.58038e+13,2.77209e+11,6.06767e+15
3.84e-09,2.19936e+21,2.17955e+18,5.00422e+10,1.11593e+16,4.61277e+13,2.79185e+11,6.10526e+15
3.87e-09,2.19735e+21,2.19057e+18,5.0397e+10,1.12345e+16,4.64516e+13,2.81161e+11,6.14286e+15
3.9e-09,2.19534e+21,2.2016e+18,5.07518e+10,1.13096e+16,4.67755e+13,2.83137e+11,6.18045e+15
3.93e-09,2.19333e+21,2.21263e+18,5.11065e+10,1.13848e+16,4.70994e+13,2.85113e+11,6.21805e+15
3.96e-09,2.19132e+21,2.22366e+18,5.14613e+10,1.14599e+16,4.74233e+13,2.87089e+11,6.25564e+15
3.99e-09,2.1893e+21,2.23469e+18,5.18161e+10,1.15351e+16,4.77472e+13,2.89065e+11,6.29324e+15
4.02e-09,2.18729e+21,2.24572e+18,5.21708e+10,1.16103e+16,4.80711e+13,2.91041e+11,6.33083e+15
4.05e-09,2.18528e+21,2.25675e+18,5.25256e+10,1.16854e+16,4.8395e+13,2.93017e+11,6.36843e+15
4.08e-09,2.18327e+21,2.26778e+18,5.28804e+10,1.17606e+16,4.87189e+13,2.94993e+11,6.40602e+15
