"cb","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.6251e+19,1,4.68e-09,4.68e-09,0,0
3.6416e+19,1,4.71e-09,4.71e-09,0,0
3.6581e+19,1,4.74e-09,4.74e-09,0,0
3.6746e+19,1,4.77e-09,4.77e-09,0,0
3.6911e+19,1,4.8e-09,4.8e-09,0,0
3.7053e+19,1,4.83e-09,4.83e-09,0,0
3.7195e+19,1,4.86e-09,4.86e-09,0,0
3.7337e+19,1,4.89e-09,4.89e-09,0,0
3.7479e+19,1,4.92e-09,4.92e-09,0,0
3.7621e+19,1,4.95e-09,4.95e-09,0,0
3.7764e+19,1,4.98e-09,4.98e-09,0,0
3.7906e+19,1,5.01e-09,5.01e-09,0,0
3.8048e+19,1,5.04e-09,5.04e-09,0,0
3.819e+19,1,5.07e-09,5.07e-09,0,0
3.8332e+19,1,5.1e-09,5.1e-09,0,0
3.8474e+19,1,5.13e-09,5.13e-09,0,0
3.8616e+19,1,5.16e-09,5.16e-09,0,0
3.8759e+19,1,5.19e-09,5.19e-09,0,0
3.8901e+19,1,5.22e-09,5.22e-09,0,0
3.9043e+19,1,5.25e-09,5.25e-09,0,0
3.9185e+19,1,5.28e-09,5.28e-09,0,0
3.9327e+19,1,5.31e-09,5.31e-09,0,0
3.9469e+19,1,5.34e-09,5.34e-09,0,0
3.9611e+19,1,5.37e-09,5.37e-09,0,0
3.9754e+19,1,5.4e-09,5.4e-09,0,0
3.9874e+19,1,5.43e-09,5.43e-09,0,0
3.9995e+19,1,5.46e-09,5.46e-09,0,0
4.0115e+19,1,5.49e-09,5.49e-09,0,0
4.0236e+19,1,5.52e-09,5.52e-09,0,0
4.0356e+19,1,5.55e-09,5.55e-09,0,0
4.0477e+19,1,5.58e-09,5.58e-09,0,0
4.0597e+19,1,5.61e-09,5.61e-09,0,0
4.0718e+19,1,5.64e-09,5.64e-09,0,0
4.0838e+19,1,5.67e-09,5.67e-09,0,0
4.0959e+19,1,5.7e-09,5.7e-09,0,0
4.1079e+19,1,5.73e-09,5.73e-09,0,0
4.12e+19,1,5.76e-09,5.76e-09,0,0
4.132e+19,1,5.79e-09,5.79e-09,0,0
4.1441e+19,1,5.82e-09,5.82e-09,0,0
