"arc_length","4","5","cb","2","3","6","1"
4.17e-09,2.40215e+12,8.85434e+09,5.71299e+13,6.15763e+17,1.25478e+15,5.05509e+08,1.22385e+21
4.2e-09,2.41781e+12,8.91244e+09,5.74593e+13,6.18805e+17,1.26268e+15,5.08832e+08,1.22272e+21
4.23e-09,2.4326e+12,8.96755e+09,5.7743e+13,6.2136e+17,1.27001e+15,5.11986e+08,1.22135e+21
4.26e-09,2.4474e+12,9.02266e+09,5.80267e+13,6.23915e+17,1.27734e+15,5.15141e+08,1.21998e+21
4.29e-09,2.46219e+12,9.07778e+09,5.83104e+13,6.2647e+17,1.28467e+15,5.18295e+08,1.2186e+21
4.32e-09,2.47699e+12,9.13289e+09,5.85941e+13,6.29025e+17,1.292e+15,5.2145e+08,1.21723e+21
4.35e-09,2.49178e+12,9.188e+09,5.88778e+13,6.3158e+17,1.29934e+15,5.24604e+08,1.21586e+21
4.38e-09,2.50658e+12,9.24311e+09,5.91615e+13,6.34135e+17,1.30667e+15,5.27759e+08,1.21449e+21
4.41e-09,2.52138e+12,9.29822e+09,5.94452e+13,6.3669e+17,1.314e+15,5.30913e+08,1.21312e+21
4.44e-09,2.53617e+12,9.35333e+09,5.97289e+13,6.39245e+17,1.32133e+15,5.34068e+08,1.21175e+21
4.47e-09,2.55097e+12,9.40844e+09,6.00126e+13,6.41799e+17,1.32866e+15,5.37222e+08,1.21038e+21
4.5e-09,2.56576e+12,9.46355e+09,6.02963e+13,6.44354e+17,1.33599e+15,5.40377e+08,1.20901e+21
4.53e-09,2.58056e+12,9.51867e+09,6.05801e+13,6.46909e+17,1.34332e+15,5.43531e+08,1.20764e+21
4.56e-09,2.59535e+12,9.57378e+09,6.08638e+13,6.49464e+17,1.35066e+15,5.46686e+08,1.20627e+21
4.59e-09,2.61015e+12,9.62889e+09,6.11475e+13,6.52019e+17,1.35799e+15,5.4984e+08,1.2049e+21
4.62e-09,2.62494e+12,9.684e+09,6.14312e+13,6.54574e+17,1.36532e+15,5.52995e+08,1.20353e+21
4.65e-09,2.63974e+12,9.73911e+09,6.17149e+13,6.57129e+17,1.37265e+15,5.56149e+08,1.20215e+21
4.68e-09,2.65453e+12,9.79422e+09,6.19986e+13,6.59684e+17,1.37998e+15,5.59304e+08,1.20078e+21
4.71e-09,2.66933e+12,9.84933e+09,6.22823e+13,6.62239e+17,1.38731e+15,5.62458e+08,1.19941e+21
4.74e-09,2.68412e+12,9.90444e+09,6.2566e+13,6.64794e+17,1.39464e+15,5.65613e+08,1.19804e+21
4.77e-09,2.69892e+12,9.95956e+09,6.28497e+13,6.67348e+17,1.40197e+15,5.68767e+08,1.19667e+21
4.8e-09,2.71371e+12,1.00147e+10,6.31334e+13,6.69903e+17,1.40931e+15,5.71922e+08,1.1953e+21
4.83e-09,2.72757e+12,1.00665e+10,6.33784e+13,6.72011e+17,1.41604e+15,5.74892e+08,1.19388e+21
4.86e-09,2.74143e+12,1.01183e+10,6.36233e+13,6.74118e+17,1.42277e+15,5.77862e+08,1.19246e+21
