"arc_length","2","3","4","1","6","cb","5"
7.15e-08,1.50214e+18,3.55757e+17,3.94704e+16,8.98365e+20,7.07128e+15,2.30272e+21,6.89195e+15
7.2e-08,1.48218e+18,3.54667e+17,3.95041e+16,8.92374e+20,7.09366e+15,2.30639e+21,6.91145e+15
7.25e-08,1.46248e+18,3.5357e+17,3.95359e+16,8.86425e+20,7.11575e+15,2.30996e+21,6.93065e+15
7.3e-08,1.44307e+18,3.52464e+17,3.95656e+16,8.80525e+20,7.1375e+15,2.31342e+21,6.9495e+15
7.35e-08,1.42393e+18,3.51352e+17,3.95933e+16,8.74671e+20,7.15892e+15,2.31678e+21,6.96802e+15
7.4e-08,1.40505e+18,3.50232e+17,3.96192e+16,8.68861e+20,7.18003e+15,2.32004e+21,6.98623e+15
7.45e-08,1.38647e+18,3.49106e+17,3.96429e+16,8.631e+20,7.20079e+15,2.32319e+21,7.00409e+15
7.5e-08,1.36811e+18,3.47973e+17,3.96649e+16,8.57378e+20,7.22129e+15,2.32625e+21,7.02168e+15
7.55e-08,1.35007e+18,3.46834e+17,3.96847e+16,8.51709e+20,7.2414e+15,2.3292e+21,7.03888e+15
7.6e-08,1.33222e+18,3.4569e+17,3.97031e+16,8.46075e+20,7.26128e+15,2.33208e+21,7.05585e+15
7.65e-08,1.31469e+18,3.44539e+17,3.97191e+16,8.40497e+20,7.28076e+15,2.33483e+21,7.07241e+15
7.7e-08,1.29733e+18,3.43384e+17,3.97339e+16,8.34948e+20,7.30003e+15,2.33751e+21,7.08877e+15
7.75e-08,1.28031e+18,3.42223e+17,3.97463e+16,8.29459e+20,7.31888e+15,2.34007e+21,7.1047e+15
7.8e-08,1.26343e+18,3.41058e+17,3.97576e+16,8.23995e+20,7.33755e+15,2.34257e+21,7.12045e+15
7.85e-08,1.2469e+18,3.39888e+17,3.97664e+16,8.18594e+20,7.35578e+15,2.34494e+21,7.13576e+15
7.9e-08,1.23049e+18,3.38715e+17,3.97743e+16,8.13214e+20,7.37386e+15,2.34727e+21,7.15092e+15
7.95e-08,1.21444e+18,3.37535e+17,3.97797e+16,8.07899e+20,7.39149e+15,2.34946e+21,7.16562e+15
8e-08,1.19848e+18,3.36355e+17,3.97843e+16,8.02601e+20,7.40899e+15,2.35161e+21,7.1802e+15
8.05e-08,1.18289e+18,3.35168e+17,3.97863e+16,7.97371e+20,7.42601e+15,2.35362e+21,7.19429e+15
8.1e-08,1.16738e+18,3.33981e+17,3.97877e+16,7.92154e+20,7.44294e+15,2.3556e+21,7.2083e+15
8.15e-08,1.15224e+18,3.32788e+17,3.97864e+16,7.87008e+20,7.45937e+15,2.35743e+21,7.22181e+15
8.2e-08,1.13715e+18,3.31594e+17,3.97848e+16,7.8187e+20,7.47573e+15,2.35925e+21,7.23525e+15
8.25e-08,1.12245e+18,3.30396e+17,3.97803e+16,7.76807e+20,7.49158e+15,2.36091e+21,7.24818e+15
8.3e-08,1.10778e+18,3.29197e+17,3.97756e+16,7.71748e+20,7.50739e+15,2.36257e+21,7.26107e+15
8.35e-08,1.0935e+18,3.27993e+17,3.9768e+16,7.66766e+20,7.52266e+15,2.36407e+21,7.27342e+15
