"arc_length","2","3","4","1","6","cb","5"
4.65e-08,9.03261e+18,2.83872e+18,8.92805e+17,2.25741e+21,5.31259e+17,3.90536e+18,4.79772e+17
4.7e-08,9.02682e+18,2.85952e+18,9.01375e+17,2.25651e+21,5.36644e+17,3.94218e+18,4.84636e+17
4.75e-08,9.0209e+18,2.88007e+18,9.09904e+17,2.25561e+21,5.42015e+17,3.9788e+18,4.89486e+17
4.8e-08,9.01494e+18,2.90051e+18,9.18416e+17,2.25471e+21,5.4738e+17,4.01534e+18,4.94332e+17
4.85e-08,9.00888e+18,2.92072e+18,9.26888e+17,2.25381e+21,5.5273e+17,4.0517e+18,4.99164e+17
4.9e-08,9.00277e+18,2.94081e+18,9.35342e+17,2.25291e+21,5.58074e+17,4.08797e+18,5.03991e+17
4.95e-08,8.99659e+18,2.96068e+18,9.43758e+17,2.25201e+21,5.63405e+17,4.12406e+18,5.08805e+17
5e-08,8.99036e+18,2.98042e+18,9.52152e+17,2.25111e+21,5.68728e+17,4.16005e+18,5.13612e+17
5.05e-08,8.98407e+18,2.99996e+18,9.60512e+17,2.25021e+21,5.74038e+17,4.19588e+18,5.18409e+17
5.1e-08,8.97774e+18,3.01936e+18,9.68847e+17,2.24931e+21,5.79339e+17,4.23159e+18,5.23197e+17
5.15e-08,8.97135e+18,3.03857e+18,9.77149e+17,2.24841e+21,5.84629e+17,4.26715e+18,5.27974e+17
5.2e-08,8.96492e+18,3.05763e+18,9.85424e+17,2.24751e+21,5.89908e+17,4.30257e+18,5.32743e+17
5.25e-08,8.95846e+18,3.07652e+18,9.93669e+17,2.24661e+21,5.95177e+17,4.33786e+18,5.37502e+17
5.3e-08,8.95195e+18,3.09525e+18,1.00188e+18,2.24571e+21,6.00434e+17,4.37301e+18,5.4225e+17
5.35e-08,8.94541e+18,3.11382e+18,1.01007e+18,2.24481e+21,6.05681e+17,4.40802e+18,5.4699e+17
5.4e-08,8.93884e+18,3.13222e+18,1.01822e+18,2.24391e+21,6.10916e+17,4.44288e+18,5.51718e+17
5.45e-08,8.93224e+18,3.15048e+18,1.02635e+18,2.24301e+21,6.16142e+17,4.47762e+18,5.56439e+17
5.5e-08,8.9256e+18,3.16855e+18,1.03445e+18,2.24212e+21,6.21354e+17,4.51219e+18,5.61147e+17
5.55e-08,8.91895e+18,3.1865e+18,1.04252e+18,2.24122e+21,6.26558e+17,4.54666e+18,5.65848e+17
5.6e-08,8.91227e+18,3.20425e+18,1.05055e+18,2.24032e+21,6.31748e+17,4.58094e+18,5.70535e+17
5.65e-08,8.90557e+18,3.2219e+18,1.05856e+18,2.23942e+21,6.3693e+17,4.61514e+18,5.75216e+17
5.7e-08,8.89884e+18,3.23934e+18,1.06653e+18,2.23853e+21,6.42096e+17,4.64913e+18,5.79883e+17
5.75e-08,8.8921e+18,3.25669e+18,1.07448e+18,2.23763e+21,6.47255e+17,4.68304e+18,5.84544e+17
5.8e-08,8.88534e+18,3.27381e+18,1.08239e+18,2.23673e+21,6.52398e+17,4.71674e+18,5.89189e+17
5.85e-08,8.87857e+18,3.29087e+18,1.09029e+18,2.23584e+21,6.57535e+17,4.75038e+18,5.9383e+17
5.9e-08,8.87178e+18,3.30769e+18,1.09813e+18,2.23494e+21,6.62653e+17,4.78378e+18,5.98454e+17
5.95e-08,8.86498e+18,3.32445e+18,1.10597e+18,2.23404e+21,6.67767e+17,4.81713e+18,6.03074e+17
6e-08,8.85816e+18,3.34097e+18,1.11375e+18,2.23315e+21,6.72862e+17,4.85025e+18,6.07677e+17
6.05e-08,8.85133e+18,3.35744e+18,1.12153e+18,2.23225e+21,6.77953e+17,4.88332e+18,6.12277e+17
6.1e-08,8.84449e+18,3.37366e+18,1.12925e+18,2.23136e+21,6.83023e+17,4.91613e+18,6.16857e+17
